model_type,world_size,batch_size,num_experts,d_model,use_triton,use_nccl_opt,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_tokens_per_sec,max_memory_gb,Router,Dispatch_Comm,Expert_Compute,Combine_Comm,framework,experiment_type
baseline,8,512,64,1024,True,True,3.6867763209342956,0.6351829217656416,3.260416030883789,8.00716781616211,3.4129440784454346,4.806159973144531,5.510213785171522,1110997.696481353,0.03796992,,,,,PyTorch (Baseline),
ultimate,8,512,64,1024,True,True,3.2097017645835875,1.1958093913091246,2.5552639961242676,13.453887939453125,3.0443999767303467,4.498240065574644,5.8215742111206445,1276131.02413314,0.046460928,26.714733600074595,1.945528457923369,1.3543327981775457,0.44871709021655,UltimateMoE (Ours),
baseline,8,1024,64,1024,True,True,4.281336648464203,1.6500920689680294,3.580512046813965,18.083871841430664,3.788032054901123,6.0613551616668655,8.301943798065237,1913421.1281746852,0.059530752,,,,,PyTorch (Baseline),
ultimate,8,1024,64,1024,True,True,3.0625689482688903,1.345350564358663,2.531264066696167,13.540160179138184,2.6405439376831055,5.832486224174498,6.8641067504883155,2674878.55404219,0.06755584,0.3089588371190158,1.3329274226318706,1.268781095201319,0.47488668967377057,UltimateMoE (Ours),
baseline,8,2048,64,1024,True,True,4.322096319198608,1.5721369911996323,3.752768039703369,17.82383918762207,3.828544020652771,6.569609689712523,7.442304005622917,3790753.095256767,0.09510656,,,,,PyTorch (Baseline),
ultimate,8,2048,64,1024,True,True,3.3355350422859193,1.313305021315829,2.7600960731506348,13.508223533630371,2.8857280015945435,5.72495379447937,6.911972861290012,4911955.591020164,0.102264832,0.3097917082634839,1.3026327246969396,1.3518763596361334,0.503674763712016,UltimateMoE (Ours),
baseline,8,4096,64,1024,True,True,4.9061705589294435,1.3595324166165186,4.242015838623047,13.745823860168457,4.384320020675659,6.912690973281859,10.900706825256362,6678936.169546902,0.153064448,,,,,PyTorch (Baseline),
ultimate,8,4096,64,1024,True,True,3.8558070349693296,2.058407058963478,3.142944097518921,22.982303619384766,3.4320640563964844,4.776372623443599,7.406134839058003,8498350.592448838,0.160325632,0.31279039924794977,1.5666065302762118,1.4148992039940573,0.799278539148244,UltimateMoE (Ours),
baseline,8,8192,64,1024,True,True,5.8969382429122925,1.4466978303062707,5.246975898742676,17.792160034179688,5.427839994430542,7.129525017738342,11.168410882949864,11113563.903907198,0.262082048,,,,,PyTorch (Baseline),
ultimate,8,8192,64,1024,True,True,4.90523777961731,2.620866807454015,4.290656089782715,28.806655883789062,4.381216049194336,6.801840233802795,13.00654097557076,13360412.470180579,0.27036928,0.3704145458611575,1.7429079315879128,1.719871723651886,1.0896020342003216,UltimateMoE (Ours),
baseline,8,512,128,1024,True,True,6.244206733703614,0.9104034873498678,5.711071968078613,10.233440399169922,5.83732795715332,8.473273897171019,9.62942933082581,655968.0315982343,0.097617408,,,,,PyTorch (Baseline),
ultimate,8,512,128,1024,True,True,3.6035788869857788,1.0732924878977759,3.1121280193328857,12.19696044921875,3.2108160257339478,5.307504153251647,6.433322515487701,1136647.796109747,0.106088448,16.305322190035472,0.9538784054192629,1.7558114864609458,0.4885288737036965,UltimateMoE (Ours),
baseline,8,1024,128,1024,True,True,6.405193586349487,1.195322041979992,5.771039962768555,12.848447799682617,5.885472059249878,8.38886890411377,12.304439506530764,1278962.124963481,0.119072256,,,,,PyTorch (Baseline),
ultimate,8,1024,128,1024,True,True,3.6039129519462585,1.723007792163037,3.1530239582061768,19.605087280273438,3.2347840070724487,4.24406733512878,6.998380341529911,2273084.8689272557,0.12705024,0.3059191264889457,1.4569451348348097,1.844555634802038,0.43540974381295117,UltimateMoE (Ours),
baseline,8,2048,128,1024,True,True,6.736858897209167,1.4223663522993233,6.21292781829834,18.64031982421875,6.340320110321045,8.119641971588134,11.345049991607704,2431993.9381226003,0.152902144,,,,,PyTorch (Baseline),
ultimate,8,2048,128,1024,True,True,3.957382700443268,2.0050948379341014,3.397631883621216,22.807647705078125,3.5382559299468994,4.91450707912445,8.492596054077222,4140110.0778463567,0.161355776,0.31423534615473314,1.378992308811708,2.0397533037445763,0.5758760731328617,UltimateMoE (Ours),
baseline,8,4096,128,1024,True,True,7.3893212842941285,2.155827797414368,6.678815841674805,27.02649688720703,6.8499839305877686,9.425254154205321,11.501236476898274,4434507.411343422,0.214664704,,,,,PyTorch (Baseline),
ultimate,8,4096,128,1024,True,True,4.374382073879242,3.8986525544843658,3.7981441020965576,42.95622253417969,3.8822879791259766,4.447116780281066,7.455457806587403,7490886.586168967,0.219953664,0.31265338307077234,1.2798815960233862,2.1311208724975588,0.6475819617509841,UltimateMoE (Ours),
baseline,8,8192,128,1024,True,True,8.02978817462921,1.7540884884105645,7.54252815246582,24.23686408996582,7.637999773025513,9.95180492401123,11.049557390213081,8161610.066759481,0.322187264,,,,,PyTorch (Baseline),
ultimate,8,8192,128,1024,True,True,5.249969305992127,2.172252059879426,4.771039962768555,25.215200424194336,4.848816156387329,5.7484128952026365,12.72295269966132,12483120.601333719,0.33238528,0.3755284360863946,1.6158449411392213,2.1110763658176768,1.0106813111088493,UltimateMoE (Ours),
baseline,8,512,256,1024,True,True,10.914062728881836,1.0346941602563673,10.245152473449707,16.30508804321289,10.618048191070557,13.110499238967893,15.803720779418947,375295.6256299291,0.173814272,,,,,PyTorch (Baseline),
ultimate,8,512,256,1024,True,True,4.55076798915863,1.3332958541443358,4.208288192749023,16.381919860839844,4.258847951889038,4.966323161125182,9.060545568466225,900067.858822504,0.19252736,0.31067490875720977,1.0852980429475958,2.9582408818331634,0.22516712627627633,UltimateMoE (Ours),
baseline,8,1024,256,1024,True,True,10.614495697021484,0.6972124471938429,10.131232261657715,14.462143898010254,10.340864181518555,11.39033441543579,14.298104715347291,771774.7723331541,0.195090944,,,,,PyTorch (Baseline),
ultimate,8,1024,256,1024,True,True,4.625025906562805,0.9799041102354428,4.360095977783203,13.390399932861328,4.424704074859619,4.958660674095154,8.07490822792056,1771233.3218232875,0.223970816,0.30895127247680315,1.0778501765294508,2.9989914200522683,0.29445643655278464,UltimateMoE (Ours),
baseline,8,2048,256,1024,True,True,11.448512573242187,1.1241878140285815,10.936223983764648,18.84566307067871,11.058943748474121,13.777640199661253,15.061805152893086,1431102.9398083717,0.229221888,,,,,PyTorch (Baseline),
ultimate,8,2048,256,1024,True,True,5.262756147384644,2.8446040214483284,4.77785587310791,33.28879928588867,4.882591962814331,5.717822408676147,8.183540616035591,3113197.6365924003,0.274888704,0.31331869228319686,1.396647545966235,3.277673595601862,0.47904261621561917,UltimateMoE (Ours),
baseline,8,4096,256,1024,True,True,12.341560974121094,3.347648591004762,11.5928316116333,44.87580871582031,11.74571180343628,13.19109935760498,17.05592084884658,2655093.635943696,0.289589248,,,,,PyTorch (Baseline),
ultimate,8,4096,256,1024,True,True,5.957536311149597,2.341079219292471,5.544608116149902,28.8308162689209,5.6283838748931885,6.080099105834961,9.122434434890849,5500260.223118459,0.372002816,0.318330180644989,1.4514807300134138,3.3301823962818493,0.7927546181462027,UltimateMoE (Ours),
baseline,8,8192,256,1024,True,True,13.355584020614623,2.707833353012532,12.706080436706543,38.69331359863281,12.822256088256836,15.648334360122679,19.26175006866465,4907011.17216917,0.399835648,,,,,PyTorch (Baseline),
