model_type,world_size,batch_size,num_experts,d_model,use_triton,use_nccl_opt,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_tokens_per_sec,max_memory_gb,Router,Dispatch_Comm,Expert_Compute,Combine_Comm,framework,experiment_type
baseline,8,512,128,1024,True,True,6.244206733703614,0.9104034873498678,5.711071968078613,10.233440399169922,5.83732795715332,8.473273897171019,9.62942933082581,655968.0315982343,0.097617408,,,,,PyTorch (Baseline),
ultimate,8,512,128,1024,True,True,3.6035788869857788,1.0732924878977759,3.1121280193328857,12.19696044921875,3.2108160257339478,5.307504153251647,6.433322515487701,1136647.796109747,0.106088448,16.305322190035472,0.9538784054192629,1.7558114864609458,0.4885288737036965,UltimateMoE (Ours),
baseline,8,1024,128,1024,True,True,6.405193586349487,1.195322041979992,5.771039962768555,12.848447799682617,5.885472059249878,8.38886890411377,12.304439506530764,1278962.124963481,0.119072256,,,,,PyTorch (Baseline),
ultimate,8,1024,128,1024,True,True,3.6039129519462585,1.723007792163037,3.1530239582061768,19.605087280273438,3.2347840070724487,4.24406733512878,6.998380341529911,2273084.8689272557,0.12705024,0.3059191264889457,1.4569451348348097,1.844555634802038,0.43540974381295117,UltimateMoE (Ours),
baseline,8,2048,128,1024,True,True,6.736858897209167,1.4223663522993233,6.21292781829834,18.64031982421875,6.340320110321045,8.119641971588134,11.345049991607704,2431993.9381226003,0.152902144,,,,,PyTorch (Baseline),
ultimate,8,2048,128,1024,True,True,3.957382700443268,2.0050948379341014,3.397631883621216,22.807647705078125,3.5382559299468994,4.91450707912445,8.492596054077222,4140110.0778463567,0.161355776,0.31423534615473314,1.378992308811708,2.0397533037445763,0.5758760731328617,UltimateMoE (Ours),
baseline,8,4096,128,1024,True,True,7.3893212842941285,2.155827797414368,6.678815841674805,27.02649688720703,6.8499839305877686,9.425254154205321,11.501236476898274,4434507.411343422,0.214664704,,,,,PyTorch (Baseline),
ultimate,8,4096,128,1024,True,True,4.374382073879242,3.8986525544843658,3.7981441020965576,42.95622253417969,3.8822879791259766,4.447116780281066,7.455457806587403,7490886.586168967,0.219953664,0.31265338307077234,1.2798815960233862,2.1311208724975588,0.6475819617509841,UltimateMoE (Ours),
baseline,8,8192,128,1024,True,True,8.02978817462921,1.7540884884105645,7.54252815246582,24.23686408996582,7.637999773025513,9.95180492401123,11.049557390213081,8161610.066759481,0.322187264,,,,,PyTorch (Baseline),
ultimate,8,8192,128,1024,True,True,5.249969305992127,2.172252059879426,4.771039962768555,25.215200424194336,4.848816156387329,5.7484128952026365,12.72295269966132,12483120.601333719,0.33238528,0.3755284360863946,1.6158449411392213,2.1110763658176768,1.0106813111088493,UltimateMoE (Ours),
deepspeed,8,512,128,1024,False,False,6.628116788864136,1.1583693414172593,5.925856113433838,11.288288116455078,6.107647895812988,9.380245208740233,10.755430088043216,617973.4199737802,0.057679872,,,,,DeepSpeed-MoE,sota
megatron,8,512,128,1024,False,False,7.990896029472351,4.079179745413429,6.866176128387451,47.82761764526367,7.216447830200195,9.232913255691528,11.020524816513252,512583.317927422,0.30719488,,,,,Megatron-LM,sota
deepspeed,8,1024,128,1024,False,False,7.937299208641052,1.10637981627351,7.280416011810303,12.384223937988281,7.368640184402466,10.557339286804199,12.264251432418824,1032089.1004186491,0.072452608,,,,,DeepSpeed-MoE,sota
megatron,8,1024,128,1024,False,False,9.342473258972168,2.6382560376262845,8.4486083984375,34.81647872924805,8.839920043945312,10.442712259292602,13.22633818626415,876855.6005373313,0.341609984,,,,,Megatron-LM,sota
deepspeed,8,2048,128,1024,False,False,8.034896640777587,2.4082170001447465,7.304416179656982,30.329471588134766,7.4132161140441895,10.005878400802612,12.78559500694284,2039105.2595313059,0.103295488,,,,,DeepSpeed-MoE,sota
megatron,8,2048,128,1024,False,False,9.321871347427368,1.6672121199849106,8.600768089294434,23.25446319580078,8.78545618057251,11.099756813049316,13.675858011245777,1757587.0111661241,0.395485184,,,,,Megatron-LM,sota
deepspeed,8,4096,128,1024,False,False,8.607626838684082,2.554571424800479,7.960480213165283,32.812416076660156,8.043488025665283,9.841387128829954,13.34610167503367,3806856.4790396406,0.16602368,,,,,DeepSpeed-MoE,sota
megatron,8,4096,128,1024,False,False,10.359885768890381,3.873191508726929,9.546015739440918,47.762977600097656,9.629071712493896,12.88150405883789,14.618346424102954,3162969.238367354,0.51808512,,,,,Megatron-LM,sota
deepspeed,8,8192,128,1024,False,False,9.04189151763916,1.9585686793713197,8.571200370788574,27.700223922729492,8.647183895111084,10.048219108581543,12.197805976867755,7248040.9516250715,0.28495872,,,,,DeepSpeed-MoE,sota
megatron,8,8192,128,1024,False,False,13.243313302993775,5.637544644423247,12.209471702575684,68.78211212158203,12.304463863372803,14.492728233337402,17.740214614868428,4948610.555425354,0.751511552,,,,,Megatron-LM,sota
